sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at baseline_sp.cpp:17]","1","","99.7377","22.680s","13.2842","3.021s","22.680s","3.021s","Scalar","0","7","9","6","","","","","","1.536","2.384","0.150","0.397","1.021","2.182","0.100","0.364","2.557","4.566","0.250","0.761","4.640","54.070","3.084","49.476","7.724","103.546","30.859","136.097","10.216","6.001","257","0","1000","6000000","< 0.001s","< 0.001s","FMA; Inserts","Int32","128","AVX","","","","","","baseline_sp.cpp:17","baseline_sp_O1","6","41712169090","41712169090","0","0","40161121066","55653641570","0","38619052910","0","0","0","0","0","0","0","0","0","0","29353174172","0","0","12358994918","0","38619052910","0","0","0","1542068156","0","0","0","0","0","13914532876","4639674270","74162949376","74234788320","24717989836","24717989836","0","0","0","0","0","0","0","0","0","0","0","0","12358994918","0","0","12358994918","9279348540","4639674270","0","0","0","0","0","0","0","0","0","9279348540","0","0","0","0","4639674270"
"2","[loop in mandelbrot_computation at baseline_sp.cpp:4]","1","","99.9576","22.730s","0.21996","0.050s","22.730s","0.050s","Scalar","1","6","7","9","","","","","","0.480","2.379","0.118","0.397","0.720","2.177","0.176","0.364","1.200","4.556","0.294","0.761","0.024","54.070","0.036","49.476","0.060","103.546","0.204","136.097","4.079","5.988","6000000","6000000","6000000","1","< 0.001s","22.73s","FMA; Type Conversions","Int32; Int64; UInt16","","","","","","","","baseline_sp.cpp:4","baseline_sp_O1","9","40530198","40530198","0","0","187711386","295550330","0","0","0","0","0","0","0","0","0","40530198","0","0","0","0","0","0","0","0","0","0","0","147181188","0","0","40530198","0","0","48000000","42000000","312000000","132000000","27020132","27020132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27020132","0","24000000","12000000","0","0","0","0","0","0","0","0","24000000","0","0","0","0","0"

