sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at dynamic_multithreading_sp.cpp:21]","1","","95.5577","38.070s","8.35752","3.330s","0.610s","0.110s","Scalar","1","12","40","37","","","","","","0","","0","","21.048","","0.083","","21.048","","0.083","","0","","2.316","","2.316","","27.889","","253.510","","128","0","500","6000000","< 0.001s","< 0.001s","Inserts; Type Conversions","Int32; UInt16","128","AVX","","","","","","dynamic_multithreading_sp.cpp:21","dynamic_multithreading_sp_O3-STRICT","37","0","0","0","0","1540692136","3851730340","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1540692136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","[loop in mandelbrot_computation at dynamic_multithreading_sp.cpp:10]","1","","95.7585","38.150s","0.201127","0.080s","0.610s","0.010s","Scalar","2","11","42","40","","","","","","2.990","","0.089","","6.578","","0.196","","9.568","","0.286","","0.030","","0.066","","0.096","","0.336","","33.489","","1","1","1","6000000","< 0.001s","< 0.001s","Divisions; Type Conversions","Int32; Int64","128","AVX2","","","","","","dynamic_multithreading_sp.cpp:10","dynamic_multithreading_sp_O3-STRICT","40","81063966","81063966","0","0","198170576","433510661","0","13510661","0","0","0","0","0","0","0","54042644","0","0","27021322","0","0","0","0","0","13510661","0","0","144127932","0","0","40531983","0","0","96000000","24000000","720000000","96000000","40531983","40531983","0","0","0","0","0","0","0","0","0","0","0","0","40531983","0","0","0","24000000","60000000","12000000","12000000","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","[loop in mandelbrot_computation at dynamic_multithreading_sp.cpp:9]","1","","96.1601","38.310s","0","0s","0.610s","0s","Scalar","3","10","38","42","","","","","","","","0","","","","0.250","","","","0.250","","0","","0.042","","0.042","","0.168","","","","6000000","6000000","6000000","1","< 0.001s","38.31s","","","","","","","","","","dynamic_multithreading_sp.cpp:9","dynamic_multithreading_sp_O3-STRICT","42","6000000","6000000","0","0","300000000","282000000","0","0","0","0","0","0","0","0","0","6000000","0","0","0","0","0","0","0","0","0","0","0","300000000","0","0","0","0","0","48000000","12000000","192000000","96000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6000000","0","0","0","0","0","0","0","0","0","0","0","0","0","24000000"
"4","[loop in __libm_hypot_dispatch_table_icx_init_icx]","1","","0.353917","0.141s","0","0s","0.010s","0s","Scalar","0","17","48","47","","","","","","","","0","","","","0","","","","0","","0","","0","","0","","0.035","","","","29461","1","93081","60","< 0.001s","0.002s","","Int64","","","","","","","","","dynamic_multithreading_sp_O3-STRICT","47","0","0","0","0","15908769","24747194","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5302923","0","10605846","0","0","0","10605966","0","70706440","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5302983"

