sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at static_multithreading_sp.cpp:18]","1","","68.6972","31.070s","7.51374","3.398s","1.110s","0.150s","Scalar","1","11","39","36","","","","","","10.337","","0.050","","10.277","","0.050","","20.615","","0.100","","1.549","","1.540","","3.089","","30.833","","205.744","","128","0","500","6000000","< 0.001s","< 0.001s","FMA; Inserts","Int32","128","AVX","","","","","","static_multithreading_sp.cpp:18","static_multithreading_sp_O2","36","38601690742","38601690742","0","0","37048032504","44067107142","0","34737749886","0","0","0","0","0","0","0","770094206","0","0","23161755228","0","0","14669841308","0","34737749886","0","0","0","770094206","0","0","1540188412","0","0","8485851922","6191397214","80237953984","99062355424","4627973064","4627973064","0","0","0","0","0","0","0","0","0","0","0","0","2313986532","0","0","2313986532","8505383746","3867644770","0","0","0","0","0","0","0","0","0","7735289540","0","0","0","0","3867644770"
"2","[loop in mandelbrot_computation at static_multithreading_sp.cpp:24]","1","","68.852","31.140s","0.154769","0.070s","1.110s","0.020s","Scalar","2","10","37","39","","","","","","1.198","","0.118","","3.127","","0.307","","4.326","","0.425","","0.024","","0.063","","0.087","","0.204","","10.185","","6000000","6000000","6000000","1","< 0.001s","31.14s","FMA; Type Conversions","Int32; Int64; UInt16","","","","","","","","static_multithreading_sp.cpp:24","static_multithreading_sp_O2","39","54040232","54040232","0","0","151630754","367572056","0","0","0","0","0","0","0","0","0","54040232","0","0","0","0","0","0","0","0","0","0","0","111100580","0","0","40530174","0","0","48000000","42000000","336000000","132000000","27020116","27020116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27020116","0","36000000","12000000","0","0","0","0","0","0","0","0","24000000","0","0","0","0","0"
"3","[loop in __libm_hypot_dispatch_table_icx_init_icx]","1","","5.60279","2.534s","0","0s","0.060s","0s","Scalar","0","16","44","43","","","","","","","","0","","","","0","","","","0","","0","","0","","0","","0.002","","","","16760","1","25354","6","< 0.001s","0.422s","","Int64","","","","","","","","","static_multithreading_sp_O2","43","0","0","0","0","905058","1407890","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","301686","0","603372","0","0","0","603384","0","4022560","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","301692"

