sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at no_complex_dp.cpp:9]","1","","77.5343","5.968s","77.529","5.968s","0.100s","0.100s","Scalar","0","12","39","36","","","","","","139.134","","","","15.393","","","","154.528","","","","13.922","","1.540","","15.462","","0","","0","","128","0","500","6000000","< 0.001s","< 0.001s","FMA","Int64","","","","","","","","no_complex_dp.cpp:9","no_complex_dp_O3","36","72569934433","72569934433","0","0","6948077694","40993122776","0","0","0","0","0","0","0","0","0","770100415","0","0","54815868458","0","0","16983965560","0","0","0","0","0","770100415","0","0","6177977279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10829223431","8515217930","1543905086","0","0","0","0","0","0","0","0","7735352068","0","0","0","0","0"
"2","[loop in mandelbrot_computation at no_complex_dp.cpp:9]","1","","78.4437","6.038s","0.909942","0.070s","0.100s","0.020s","Scalar","1","11","40","39","","","","","","1.199","","2.000","","3.130","","5.220","","4.329","","7.220","","0.024","","0.063","","0.087","","0.012","","0.600","","1","1","1","6000000","< 0.001s","< 0.001s","FMA; Type Conversions","Int64; ","","","","","","","","no_complex_dp.cpp:9","no_complex_dp_O3","39","81060594","81060594","0","0","111100990","319571290","0","0","0","0","0","0","0","0","0","54040396","0","0","0","0","0","27020198","0","0","0","0","0","111100990","0","0","0","0","0","12000000","18000000","48000000","36000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36000000","12000000","0","0","0","0","0","0","0","0","24000000","0","0","0","0","0"
"3","[loop in mandelbrot_computation at no_complex_dp.cpp:9]","1","","81.5617","6.278s","0.129917","0.010s","0.100s","0.010s","Scalar","2","10","38","40","","","","","","0","","0","","1.800","","0.075","","1.800","","0.075","","0","","0.018","","0.018","","0.240","","24.000","","6000000","6000000","6000000","1","< 0.001s","6.278s","","Int64","","","","","","","","no_complex_dp.cpp:9","no_complex_dp_O3","40","6000000","6000000","0","0","984000000","342000000","0","0","0","0","0","0","0","0","0","6000000","0","0","0","0","0","0","0","0","0","0","0","792000000","0","0","192000000","0","0","96000000","0","672000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6000000","0","0","0","0","0","0","0","0","0","0","0","0","0","24000000"

