sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at dynamic_multithreading_dp.cpp:21]","1","","94.4681","29.370s","7.62367","2.370s","0.470s","0.080s","Scalar","1","12","40","36","","","","","","135.337","","0.438","","19.278","","0.062","","154.615","","0.500","","10.826","","1.542","","12.368","","24.745","","309.343","","257","0","1000","6000000","< 0.001s","< 0.001s","FMA","Int64","","","","","","","","dynamic_multithreading_dp.cpp:21","dynamic_multithreading_dp_O1","36","0","0","0","0","1542052099","4626156297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1542052099","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","[loop in mandelbrot_computation at dynamic_multithreading_dp.cpp:24]","1","","94.6289","29.420s","0.160944","0.050s","0.470s","0.010s","Scalar","2","11","41","40","","","","","","2.391","","0.095","","4.184","","0.167","","6.574","","0.262","","0.024","","0.042","","0.066","","0.252","","25.102","","6000000","6000000","6000000","1","< 0.001s","29.42s","FMA; Type Conversions","Int64; ","","","","","","","","dynamic_multithreading_dp.cpp:24","dynamic_multithreading_dp_O1","40","40530258","40530258","0","0","102080688","277510086","0","0","0","0","0","0","0","0","0","40530258","0","0","0","0","0","0","0","0","0","0","0","61550430","0","0","40530258","0","0","36000000","42000000","288000000","228000000","27020172","27020172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27020172","0","24000000","12000000","0","0","0","0","0","0","0","0","24000000","0","0","0","0","0"
"3","[loop in mandelbrot_computation at dynamic_multithreading_dp.cpp:9]","1","","94.9506","29.520s","0","0s","0.470s","0s","Scalar","3","10","38","41","","","","","","","","0","","","","0.375","","","","0.375","","0","","0.036","","0.036","","0.096","","","","1","1","1","1","29.52s","29.52s","","","","","","","","","","dynamic_multithreading_dp.cpp:9","dynamic_multithreading_dp_O1","41","0","0","0","0","702001664","306000640","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","702001664","0","0","0","0","0","30000000","0","144000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24000256"
"4","[loop in __libm_hypot_dispatch_table_icx_init_icx]","1","","0.324865","0.101s","0","0s","0.010s","0s","Scalar","0","16","44","43","","","","","","","","0","","","","0","","","","0","","0","","0","","0","","0.069","","","","53938","1","98718","64","< 0.001s","0.002s","","Int64","","","","","","","","","dynamic_multithreading_dp_O1","43","0","0","0","0","31068555","48329098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10356185","0","20712370","0","0","0","20712498","0","138083320","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10356249"

