sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at no_complex_sp.cpp:9]","1","","80.5974","5.857s","80.593","5.857s","0.100s","0.100s","Scalar","0","12","31","29","","","","","","154.635","","","","30.882","","","","185.517","","","","15.466","","3.089","","18.554","","0","","0","","257","0","1000","6000000","< 0.001s","< 0.001s","FMA","Int32","","","","","","","","no_complex_sp.cpp:9","no_complex_sp_O1","29","37081937640","37081937640","0","0","6177329652","38650964679","0","0","0","0","0","0","0","0","0","0","0","0","23176211025","0","0","13905726615","0","0","0","0","0","1542087447","0","0","4635242205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6186309516","6186309516","0","0","0","0","0","0","0","0","0","9279464274","0","0","0","0","0"
"2","[loop in mandelbrot_computation at no_complex_sp.cpp:9]","1","","81.2855","5.907s","0.687672","0.050s","0.100s","0.020s","Scalar","1","11","32","31","","","","","","1.201","","2.000","","2.101","","3.500","","3.302","","5.500","","0.024","","0.042","","0.066","","0.012","","0.600","","1","1","1","6000000","< 0.001s","< 0.001s","FMA; Type Conversions","Int32; Int64; UInt16","","","","","","","","no_complex_sp.cpp:9","no_complex_sp_O1","31","67550340","67550340","0","0","61550340","265510068","0","0","0","0","0","0","0","0","0","40530204","0","0","0","0","0","27020136","0","0","0","0","0","61550340","0","0","0","0","0","12000000","18000000","24000000","36000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24000000","12000000","0","0","0","0","0","0","0","0","24000000","0","0","0","0","0"
"3","[loop in mandelbrot_computation at no_complex_sp.cpp:9]","1","","83.3496","6.057s","0.687223","0.050s","0.100s","0.010s","Scalar","2","10","25","32","","","","","","0","","0","","1.197","","0.045","","1.197","","0.045","","0","","0.012","","0.012","","0.264","","26.336","","6000000","6000000","6000000","1","< 0.001s","6.057s","","Int32; Int64","","","","","","","","no_complex_sp.cpp:9","no_complex_sp_O1","32","0","0","0","0","990000000","342000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","798000000","0","0","192000000","0","0","102000000","0","648000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24000000"

