sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at dynamic_multithreading_sp_simd.cpp:8]","1","","96.1121","46.460s","2.91928","1.411s","0.770s","0.060s","Scalar","0","12","38","35","","","","","","78.392","","0.036","","13.065","","0.006","","91.457","","0.042","","4.706","","0.784","","5.490","","132.094","","2200.624","","261","1","1000","1500000","< 0.001s","< 0.001s","Blends; Extracts; FMA; Inserts; Permutes; Shifts; Shuffles; Unpacks","Int32; Int64; UInt128; UInt16; Variable; ; ","128/256","AVX; AVX2; FMA","","","","","","dynamic_multithreading_sp_simd.cpp:8","dynamic_multithreading_sp_simd_O3","35","1908399219295","1908399219295","0","0","15595605153610","204301691457","1908399219295","11071235890291","0","1526719375436","0","0","0","381679843859","0","0","0","0","0","0","0","0","0","9072777136335","1998458753956","0","0","1998458753956","0","0","2525910509363","0","0","37827558595","17187497098","656389688756","325192089376","1145039531577","1145039531577","0","0","1145039531577","0","763359687718","0","0","0","381679843859","0","0","0","0","0","0","0","9411025464","6274016976","3137008488","0","0","0","0","0","0","0","0","6274016976","0","0","0","0","4639463146"
"2","[loop in mandelbrot_computation at dynamic_multithreading_sp_simd.cpp:8]","1","","96.2569","46.530s","0.144916","0.070s","0.770s","0.010s","Scalar","1","11","40","38","","","","","","2.393","","0.061","","4.039","","0.102","","6.432","","0.163","","0.024","","0.041","","0.065","","0.396","","39.491","","25","25","25","60000","< 0.001s","< 0.001s","Blends; Extracts; FMA; Shifts; Shuffles; Type Conversions","Int32; Int64; UInt16; UInt256; UInt; Variable; ; ","128/256","AVX; AVX2; FMA","","","","","","dynamic_multithreading_sp_simd.cpp:8","dynamic_multithreading_sp_simd_O3","38","18000000","15000000","0","0","51000000","94500000","13500000","40500000","0","9000000","1500000","0","0","3000000","0","4500000","0","0","0","0","0","0","0","27000000","13500000","0","0","1500000","0","0","9000000","0","0","19500000","19500000","294000000","192000000","3000000","3000000","0","0","3000000","0","1500000","1500000","0","0","0","0","0","0","0","0","0","0","9000000","4500000","1500000","0","0","0","0","0","0","0","0","3000000","0","0","0","0","0"
"3","[loop in mandelbrot_computation at dynamic_multithreading_sp_simd.cpp:26]","1","","96.2776","46.540s","0","0s","0.770s","0s","Scalar","2","10","36","40","","","","","","","","0","","","","0.417","","","","0.417","","0","","< 0.001","","< 0.001","","0.002","","","","6000000","6000000","6000000","1","< 0.001s","46.54s","","UInt16; ","128","AVX; AVX2","","","","","","dynamic_multithreading_sp_simd.cpp:26","dynamic_multithreading_sp_simd_O3","40","480000","480000","0","0","21840000","6720000","0","180000","0","0","0","0","0","0","0","480000","0","0","0","0","0","0","0","0","180000","0","0","21000000","0","0","180000","0","0","720000","120000","4320000","480000","180000","180000","0","0","180000","0","180000","0","0","0","0","0","0","0","0","0","0","0","120000","0","180000","0","0","0","0","0","0","0","0","0","0","0","0","0","360000"

