sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at dynamic_multithreading_dp.cpp:19]","1","","93.479","29.799s","9.25282","2.950s","0.480s","0.110s","Scalar","1","12","37","32","","","","","","98.451","","0.251","","14.007","","0.036","","112.458","","0.286","","10.826","","1.540","","12.366","","43.170","","392.594","","128","0","500","6000000","< 0.001s","< 0.001s","FMA","Int64; ","","","","","","","","dynamic_multithreading_dp.cpp:19","dynamic_multithreading_dp_O2","32","53271934072","53271934072","0","0","25462464564","48695447616","0","0","0","0","0","0","0","0","0","770099988","0","0","37831882090","0","0","14669951994","0","0","0","0","0","770099988","0","0","24692364576","0","0","10799921062","7735347856","86399368496","61882782848","6942012630","6942012630","0","0","0","0","0","0","0","0","0","0","0","0","4628008420","0","0","2314004210","12373121772","7735347856","0","0","0","0","0","0","0","0","0","7735347856","0","0","0","0","3867673928"
"2","[loop in mandelbrot_computation at dynamic_multithreading_dp.cpp:25]","1","","93.7299","29.879s","0.252501","0.080s","0.480s","0.020s","Scalar","2","11","38","37","","","","","","1.193","","0.095","","3.113","","0.249","","4.305","","0.344","","0.024","","0.063","","0.087","","0.252","","12.523","","1","1","1","6000000","< 0.001s","< 0.001s","FMA; Type Conversions","Int64; ","","","","","","","","dynamic_multithreading_dp.cpp:25","dynamic_multithreading_dp_O2","37","54040344","54040344","0","0","151631118","376168783","0","0","0","0","0","0","0","0","0","54040344","0","0","0","0","0","0","0","0","0","0","0","111100860","0","0","40530258","0","0","36000000","42000000","288000000","228000000","27020172","27020172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27020172","0","36000000","12000000","0","0","0","0","0","0","0","0","24000000","0","0","0","0","0"
"3","[loop in mandelbrot_computation at dynamic_multithreading_dp.cpp:9]","1","","94.4169","30.098s","0.156865","0.050s","0.480s","0.010s","Scalar","3","10","34","38","","","","","","0","","0","","4.195","","0.583","","4.195","","0.583","","0","","0.042","","0.042","","0.072","","7.191","","6000000","6000000","6000000","1","< 0.001s","30.10s","","","","","","","","","","dynamic_multithreading_dp.cpp:9","dynamic_multithreading_dp_O2","38","6000000","6000000","0","0","288000000","288000000","0","0","0","0","0","0","0","0","0","6000000","0","0","0","0","0","0","0","0","0","0","0","288000000","0","0","0","0","0","48000000","0","192000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6000000","0","0","0","0","0","0","0","0","0","0","0","0","0","24000000"
"4","[loop in __libm_hypot_dispatch_table_icx_init_icx]","1","","0.856397","0.273s","0","0s","0.010s","0s","Scalar","0","16","56","55","","","","","","","","0","","","","0","","","","0","","0","","0","","0","","0.011","","","","18349","1","31735","30","< 0.001s","0.009s","","Int64","","","","","","","","","dynamic_multithreading_dp_O2","55","0","0","0","0","4954176","7706606","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1651392","0","3302784","0","0","0","3302844","0","22018960","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1651422"

