sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at dynamic_multithreading_sp.cpp:21]","1","","95.6596","37.659s","7.18873","2.830s","0.630s","0.120s","Scalar","1","12","40","37","","","","","","25.787","","0.111","","19.298","","0.083","","45.085","","0.194","","3.094","","2.316","","5.410","","27.889","","232.435","","128","0","500","6000000","< 0.001s","< 0.001s","Inserts; Type Conversions","Int32; UInt16","128","AVX","","","","","","dynamic_multithreading_sp.cpp:21","dynamic_multithreading_sp_O2-STRICT","37","32480236348","32480236348","0","0","13140776546","39494159062","0","9280067528","0","0","0","0","0","0","0","0","0","0","32480236348","0","0","0","0","9280067528","0","0","0","3860709018","0","0","0","0","0","0","4649012442","0","52688807676","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6198683256","12397366512","3099341628","0","0","0","0","0","0","0","0","0","0","0","0","0","1549670814"
"2","[loop in mandelbrot_computation at dynamic_multithreading_sp.cpp:10]","1","","95.8628","37.739s","0.203186","0.080s","0.630s","0.020s","Scalar","2","11","41","40","","","","","","1.501","","0.089","","3.301","","0.196","","4.802","","0.286","","0.030","","0.066","","0.096","","0.336","","16.807","","1","1","1","6000000","< 0.001s","< 0.001s","Divisions; Type Conversions","Int32; Int64","128","AVX2","","","","","","dynamic_multithreading_sp.cpp:10","dynamic_multithreading_sp_O2-STRICT","40","81063966","81063966","0","0","198170576","433510661","0","13510661","0","0","0","0","0","0","0","54042644","0","0","27021322","0","0","0","0","0","13510661","0","0","144127932","0","0","40531983","0","0","96000000","24000000","720000000","96000000","40531983","40531983","0","0","0","0","0","0","0","0","0","0","0","0","40531983","0","0","0","24000000","60000000","12000000","12000000","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","[loop in mandelbrot_computation at dynamic_multithreading_sp.cpp:9]","1","","96.3454","37.929s","0","0s","0.630s","0s","Scalar","3","10","38","41","","","","","","","","0","","","","0.250","","","","0.250","","0","","0.042","","0.042","","0.168","","","","6000000","6000000","6000000","1","< 0.001s","37.93s","","","","","","","","","","dynamic_multithreading_sp.cpp:9","dynamic_multithreading_sp_O2-STRICT","41","6000000","6000000","0","0","300000000","282000000","0","0","0","0","0","0","0","0","0","6000000","0","0","0","0","0","0","0","0","0","0","0","300000000","0","0","0","0","0","48000000","12000000","192000000","96000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6000000","0","0","0","0","0","0","0","0","0","0","0","0","0","24000000"
"4","[loop in __libm_hypot_dispatch_table_icx_init_icx]","1","","0.0254015","0.010s","0","0s","0.010s","0s","Scalar","0","17","61","60","","","","","","","","0","","","","0","","","","0","","0","","0","","0","","0.009","","","","58416","1","82161","8","< 0.001s","0.001s","","Int64","","","","","","","","","dynamic_multithreading_sp_O2-STRICT","60","0","0","0","0","4205937","6542598","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1401979","0","2803958","0","0","0","2803974","0","18693160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1401987"

