sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"2","[loop in mandelbrot_computation at avx2_sp.cpp:39]","1","","40.558","1.050s","40.5503","1.050s","0.020s","0.020s","Inside vectorized","0","12","41","40","","","","","","868.621","","","","4.915","","","","873.536","","","","17.433","","0.099","","17.532","","0","","0","","131","0","499","750000","< 0.001s","< 0.001s","","Int32; UInt16","256","AVX","","","","","","avx2_sp.cpp:39","avx2_sp_O2-PRECISE","40","11371758439","11371758439","0","0","0","7232132981","11371758439","0","0","11371758439","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2476781065","2081280885","495356213","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","[loop in mandelbrot_computation at avx2_sp.cpp:39]","1","","41.7168","1.080s","1.15793","0.030s","0.020s","0.010s","Vectorized (Body)","1","11","32","41","","AVX2","","4; 16","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.026","","2.546","","1","1","1","750000","< 0.001s","< 0.001s","Type Conversions","Int32; Int64; UInt16","256","AVX; AVX2","","","","","","avx2_sp.cpp:39","avx2_sp_O2-PRECISE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","[loop in mandelbrot_computation at avx2_sp.cpp:22]","1","","44.0344","1.140s","0","0s","0.020s","0s","Scalar","2","10","33","32","","","","","","","","0.228","","","","0.068","","","","0.295","","0.045","","0.014","","0.059","","0.200","","","","750000","750000","750000","1","< 0.001s","1.140s","","Int32","256","AVX","","","","","","avx2_sp.cpp:22","avx2_sp_O2-PRECISE","32","180487806","180487806","0","0","2874851052","226182390","90052446","200672502","0","90052446","0","0","0","0","0","90435360","0","0","0","0","0","0","0","197286618","3385884","0","0","2674178550","0","0","0","0","0","56250000","20250000","921000000","108000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10608840","14315304","6771768","0","0","0","0","0","0","0","0","0","0","0","0","0","6000000"

