sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at dynamic_multithreading_sp_simd.cpp:8]","1","","96.5965","43.376s","4.97028","2.232s","0.681s","0.070s","Scalar","0","12","43","39","","","","","","22.430","","0.031","","14.019","","0.019","","36.449","","0.050","","1.571","","0.982","","2.553","","51.405","","733.880","","130","1","500","1500000","< 0.001s","< 0.001s","Extracts; Inserts; Permutes; Shifts; Shuffles; Unpacks","Int32; Int64; UInt16; UInt256; UInt; Variable; ; ; ","128/256","AVX; AVX2","","","","","","dynamic_multithreading_sp_simd.cpp:8","dynamic_multithreading_sp_simd_O2-PRECISE","39","15257963443546978","15257963443546978","0","0","34161187567757148","208185817741","10557323608554","22487509268837093","0","10557323608554","0","0","0","0","0","15247406119938424","0","0","0","0","0","0","0","11889321326737316","10598187942099777","0","0","0","0","0","11673678298920055","0","0","24806490509","25112929522","548711046880","199090650912","2639281804252","2639281804252","0","0","2639281804252","0","2639281804252","0","0","0","0","0","0","0","0","0","0","0","16104106772","8837619570","4320614012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","[loop in mandelbrot_computation at dynamic_multithreading_sp_simd.cpp:9]","1","","96.6633","43.406s","0.0666354","0.030s","0.681s","0.010s","Scalar","1","11","44","43","","","","","","2.400","","0.071","","7.050","","0.210","","9.450","","0.281","","0.024","","0.071","","0.095","","0.336","","33.600","","6000000","6000000","6000000","1","< 0.001s","43.41s","Blends; FMA; Shifts; Shuffles; Type Conversions","Int32; Int64; UInt16; UInt256; ; ","128/256","AVX; AVX2; FMA","","","","","","dynamic_multithreading_sp_simd.cpp:9","dynamic_multithreading_sp_simd_O2-PRECISE","43","27000000","21000000","0","0","46500000","90000000","22500000","42000000","0","13500000","6000000","0","0","3000000","0","4500000","0","0","0","0","0","0","0","24000000","18000000","0","0","3000000","0","0","1500000","0","0","21000000","9000000","198000000","192000000","6000000","6000000","0","0","6000000","0","6000000","0","0","0","0","0","0","0","0","0","0","0","15000000","9000000","1500000","0","0","0","0","0","0","0","0","3000000","0","0","0","0","0"
"3","[loop in mandelbrot_computation at dynamic_multithreading_sp_simd.cpp:8]","1","","96.6855","43.416s","0","0s","0.681s","0s","Scalar","2","10","41","44","","","","","","","","0","","","","0.354","","","","0.354","","0","","0.001","","0.001","","0.003","","","","1","1","1","1","43.42s","43.42s","","UInt16; ","128","AVX; AVX2","","","","","","dynamic_multithreading_sp_simd.cpp:8","dynamic_multithreading_sp_simd_O2-PRECISE","44","660000","660000","0","0","49682688","7501408","180000","540000","0","180000","0","0","0","0","0","480000","0","0","0","0","0","0","0","360000","180000","0","0","48482688","0","0","180000","0","0","1080000","300000","4560000","3360000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120000","0","180000","0","0","0","0","0","0","0","0","0","0","0","0","0","360384"

