sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at static_multithreading_dp.cpp:20]","1","","70.7646","31.291s","6.2862","2.780s","1.060s","0.140s","Scalar","0","11","34","32","","","","","","55.317","","0.193","","16.542","","0.058","","71.859","","0.250","","7.741","","2.315","","10.055","","40.168","","287.050","","128","0","500","6000000","< 0.001s","< 0.001s","Blends; Shuffles","Int64","128","AVX","","","","","","static_multithreading_dp.cpp:20","static_multithreading_dp_O3-PRECISE","32","59443856934","59443856934","0","0","71790041349","73468643163","57129852327","61757861541","0","57129852327","0","0","0","0","0","0","0","0","2314004607","0","0","0","0","61757861541","0","0","0","10032179808","0","0","0","0","0","6955483554","10059119274","111287736864","106798464180","8491979562","8491979562","0","0","8491979562","0","8491979562","0","0","0","0","0","0","0","0","0","0","0","11603023758","11603023758","7735349172","0","0","0","0","0","0","0","0","0","0","0","0","0","3867674586"
"2","[loop in mandelbrot_computation at static_multithreading_dp.cpp:9]","1","","70.9002","31.351s","0.135376","0.060s","1.060s","0.010s","Scalar","1","10","33","34","","","","","","2.398","","0.083","","5.994","","0.208","","8.392","","0.292","","0.024","","0.060","","0.084","","0.288","","28.771","","6000000","6000000","6000000","1","< 0.001s","31.35s","FMA; Type Conversions","Int64; UInt16; ; ","128","AVX; FMA","","","","","","static_multithreading_dp.cpp:9","static_multithreading_dp_O3-PRECISE","34","54040356","54040356","0","0","115590801","301510089","0","27020178","0","0","0","0","0","0","0","54040356","0","0","0","0","0","0","0","27020178","0","0","0","75060534","0","0","13510089","0","0","36000000","12000000","408000000","192000000","13510089","13510089","0","0","13510089","0","0","0","0","0","13510089","0","0","0","0","0","0","0","0","36000000","12000000","0","0","0","0","0","0","0","0","12000000","0","0","0","0","0"

