sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at no_complex_dp.cpp:9]","1","","84.334","6.188s","84.3334","6.188s","0.100s","0.100s","Scalar","0","12","30","26","","","","","","154.573","","","","30.870","","","","185.442","","","","15.465","","3.089","","18.554","","0","","0","","257","0","1000","6000000","< 0.001s","< 0.001s","FMA","Int64","","","","","","","","no_complex_dp.cpp:9","no_complex_dp_O1","26","37081047552","37081047552","0","0","6177181316","38650037408","0","0","0","0","0","0","0","0","0","0","0","0","23175654720","0","0","13905392832","0","0","0","0","0","1542050372","0","0","4635130944","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6186161144","6186161144","0","0","0","0","0","0","0","0","0","9279241716","0","0","0","0","0"
"2","[loop in mandelbrot_computation at no_complex_dp.cpp:9]","1","","85.1517","6.248s","0.819204","0.060s","0.100s","0.010s","Scalar","1","11","33","30","","","","","","2.384","","2.000","","4.172","","3.500","","6.556","","5.500","","0.024","","0.042","","0.066","","0.012","","1.192","","1","1","1","6000000","< 0.001s","< 0.001s","FMA; Type Conversions","Int64; ","","","","","","","","no_complex_dp.cpp:9","no_complex_dp_O1","30","67550430","67550430","0","0","61550430","241510086","0","0","0","0","0","0","0","0","0","40530258","0","0","0","0","0","27020172","0","0","0","0","0","61550430","0","0","0","0","0","12000000","18000000","24000000","36000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24000000","12000000","0","0","0","0","0","0","0","0","24000000","0","0","0","0","0"
"3","[loop in mandelbrot_computation at no_complex_dp.cpp:9]","1","","86.5146","6.348s","0.136213","0.010s","0.100s","0.010s","Scalar","2","10","27","33","","","","","","0","","0","","1.201","","0.042","","1.201","","0.042","","0","","0.012","","0.012","","0.288","","28.816","","6000000","6000000","6000000","1","< 0.001s","6.348s","","Int64","","","","","","","","no_complex_dp.cpp:9","no_complex_dp_O1","33","0","0","0","0","990000000","342000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","798000000","0","0","192000000","0","0","102000000","0","720000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24000000"

