sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at baseline_dp.cpp:19]","1","","99.822","22.420s","10.463","2.350s","22.420s","2.350s","Scalar","0","7","9","6","","","","","","4.608","2.412","0.140","0.546","1.313","2.207","0.040","0.500","5.921","4.619","0.180","1.046","10.829","54.068","3.085","49.486","13.914","103.554","77.350","99.009","32.915","4.416","257","0","1000","6000000","< 0.001s","< 0.001s","","Int64; ","","","","","","","","baseline_dp.cpp:19","baseline_dp_O1-STRICT","6","55638442284","55638442284","0","0","21631186154","69592946695","0","0","0","0","0","0","0","0","0","0","0","0","55638442284","0","0","0","0","0","0","0","0","7721575583","0","0","13909610571","0","0","9282052482","9282052482","74256419856","55692314892","9273073714","9273073714","0","0","0","0","0","0","0","0","0","0","0","0","9273073714","0","0","0","12376069976","24752139952","6188034988","0","0","0","0","0","0","0","0","0","0","0","0","0","3094017494"
"2","[loop in mandelbrot_computation at baseline_dp.cpp:8]","1","","100","22.460s","0.177979","0.040s","22.460s","0.040s","Scalar","1","6","7","9","","","","","","0.750","2.407","0.089","0.546","0.901","2.203","0.107","0.500","1.651","4.611","0.196","1.046","0.030","54.068","0.036","49.486","0.066","103.554","0.336","99.009","8.405","4.408","6000000","6000000","6000000","1","< 0.001s","22.46s","Divisions; Type Conversions","Int64","","","","","","","","baseline_dp.cpp:8","baseline_dp_O1-STRICT","9","67553080","67553080","0","0","121595544","295510616","0","0","0","0","0","0","0","0","0","40531848","0","0","27021232","0","0","0","0","0","0","0","0","40531848","0","0","81063696","0","0","60000000","24000000","480000000","192000000","40531848","40531848","0","0","0","0","0","0","0","0","0","0","0","0","40531848","0","0","0","24000000","48000000","12000000","12000000","0","0","0","0","0","0","0","0","0","0","0","0","0"

