sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at baseline_sp.cpp:17]","1","","99.8275","22.890s","12.6864","2.909s","22.890s","2.909s","Scalar","0","7","9","6","","","","","","2.660","2.362","0.125","0.397","0.529","2.161","0.025","0.364","3.190","4.524","0.150","0.761","7.738","54.069","1.540","49.475","9.278","103.544","61.796","136.095","21.243","5.946","128","0","500","6000000","< 0.001s","< 0.001s","FMA; Inserts","Int32","128","AVX","","","","","","baseline_sp.cpp:17","baseline_sp_O2","6","38601690742","38601690742","0","0","37048032504","44067107142","0","34737749886","0","0","0","0","0","0","0","770094206","0","0","23161755228","0","0","14669841308","0","34737749886","0","0","0","770094206","0","0","1540188412","0","0","8485851922","6191397214","80237953984","99062355424","4627973064","4627973064","0","0","0","0","0","0","0","0","0","0","0","0","2313986532","0","0","2313986532","8505383746","3867644770","0","0","0","0","0","0","0","0","0","7735289540","0","0","0","0","3867644770"
"2","[loop in mandelbrot_computation at baseline_sp.cpp:8]","1","","100.002","22.930s","0.174437","0.040s","22.930s","0.040s","Scalar","1","6","7","9","","","","","","0.600","2.358","0.095","0.397","0.966","2.158","0.153","0.364","1.566","4.516","0.249","0.761","0.024","54.069","0.039","49.475","0.063","103.544","0.252","136.095","6.300","5.935","6000000","6000000","6000000","1","< 0.001s","22.93s","FMA; Type Conversions","Int32; Int64; UInt16","","","","","","","","baseline_sp.cpp:8","baseline_sp_O2","9","40530174","40530174","0","0","186160928","337572056","0","0","0","0","0","0","0","0","0","40530174","0","0","0","0","0","0","0","0","0","0","0","145630754","0","0","40530174","0","0","66000000","42000000","480000000","132000000","27020116","27020116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27020116","0","24000000","12000000","0","0","0","0","0","0","0","0","24000000","0","0","0","0","0"

