sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at baseline_sp.cpp:19]","1","","99.9438","35.050s","9.35303","3.280s","35.050s","3.280s","Scalar","0","7","9","6","","","","","","0","1.543","0","0.437","0.941","1.412","0.997","0.400","0.941","2.955","0.997","0.837","0","54.069","3.085","49.487","3.085","103.556","3.094","123.763","0.943","3.531","257","0","1000","6000000","< 0.001s","< 0.001s","Inserts; Type Conversions","Int32; UInt16","128","AVX","","","","","","baseline_sp.cpp:19","baseline_sp_O1-STRICT","6","55639323780","55639323780","0","0","21631529018","72688114551","0","13909830945","0","0","0","0","0","0","0","0","0","0","55639323780","0","0","0","0","13909830945","0","0","0","7721698073","0","0","0","0","0","6188132872","6188132872","24752531488","55693195848","9273220630","9273220630","0","0","0","0","0","0","0","0","0","0","0","0","9273220630","0","0","0","12376265744","24752531488","6188132872","0","0","0","0","0","0","0","0","0","0","0","0","0","3094066436"
"2","[loop in mandelbrot_computation at baseline_sp.cpp:8]","1","","100.001","35.070s","0.0570544","0.020s","35.070s","0.020s","Scalar","1","6","7","9","","","","","","1.499","1.542","0.125","0.437","2.099","1.411","0.175","0.400","3.598","2.953","0.300","0.837","0.030","54.069","0.042","49.487","0.072","103.556","0.240","123.763","11.995","3.529","6000000","6000000","6000000","1","< 0.001s","35.07s","Divisions; Type Conversions","Int32; Int64","128","AVX2","","","","","","baseline_sp.cpp:8","baseline_sp_O1-STRICT","9","67553305","67553305","0","0","94574627","331510661","0","13510661","0","0","0","0","0","0","0","40531983","0","0","27021322","0","0","0","0","0","13510661","0","0","40531983","0","0","40531983","0","0","60000000","24000000","408000000","96000000","40531983","40531983","0","0","0","0","0","0","0","0","0","0","0","0","40531983","0","0","0","24000000","48000000","12000000","12000000","0","0","0","0","0","0","0","0","0","0","0","0","0"

