sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at dynamic_multithreading_dp_simd.cpp:8]","1","","96.0634","37.566s","6.72503","2.630s","0.600s","0.120s","Scalar","1","12","39","36","","","","","","13.095","","0.014","","3.274","","0.003","","16.368","","0.017","","1.571","","0.393","","1.964","","112.982","","941.460","","130","1","500","1500000","< 0.001s","< 0.001s","Blends; Extracts; Permutes; Shifts; Shuffles; Type Conversions; Unpacks","Int32; Int64; UInt16; UInt256; UInt; Variable; ; ; ","128/256","AVX; AVX2","","","","","","dynamic_multithreading_dp_simd.cpp:8","dynamic_multithreading_dp_simd_O3-STRICT","36","3499763848190794","3499763848190794","0","0","14020136710692934","197116436476","162800051254356","12337958425165250","0","162800051254356","0","0","0","0","0","3336963796936438","0","0","0","0","0","0","0","8730391530177811","3607566894987439","0","0","0","0","0","1682178285527684","0","0","50744525648","16761838434","1174277122384","206335653674","27133341875726","27133341875726","0","0","27133341875726","0","27133341875726","0","0","0","0","0","0","0","0","0","0","0","13750220260","20428898672","8642995592","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","[loop in mandelbrot_computation at dynamic_multithreading_dp_simd.cpp:9]","1","","96.1657","37.606s","0.102356","0.040s","0.600s","0.010s","Scalar","2","11","41","39","","","","","","3.594","","0.081","","7.038","","0.159","","10.631","","0.240","","0.036","","0.071","","0.107","","0.444","","44.323","","25","25","25","60000","< 0.001s","< 0.001s","Blends; Divisions; Shifts; Shuffles; Type Conversions","Int32; Int64; UInt16; UInt256; ; ","128/256","AVX; AVX2","","","","","","dynamic_multithreading_dp_simd.cpp:9","dynamic_multithreading_dp_simd_O3-STRICT","39","36000000","30000000","0","0","58500000","106500000","31500000","51000000","0","25500000","6000000","0","0","0","0","4500000","0","0","0","0","0","0","0","31500000","19500000","0","0","3000000","0","0","4500000","0","0","24000000","9000000","282000000","216000000","3000000","3000000","0","0","3000000","0","3000000","0","0","0","0","0","0","0","0","0","0","0","18000000","12000000","3000000","1500000","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","[loop in mandelbrot_computation at dynamic_multithreading_dp_simd.cpp:8]","1","","96.1657","37.606s","0","0s","0.600s","0s","Scalar","3","10","37","41","","","","","","","","0","","","","0.304","","","","0.304","","0","","0.001","","0.001","","0.003","","","","6000000","6000000","6000000","1","< 0.001s","37.61s","","UInt16; ","128","AVX; AVX2","","","","","","dynamic_multithreading_dp_simd.cpp:8","dynamic_multithreading_dp_simd_O3-STRICT","41","660000","660000","0","0","30840000","7380000","180000","540000","0","180000","0","0","0","0","0","480000","0","0","0","0","0","0","0","360000","180000","0","0","29640000","0","0","180000","0","0","1020000","480000","4320000","4800000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120000","0","180000","0","0","0","0","0","0","0","0","0","0","0","0","0","360000"
"4","[loop in __libm_hypot_dispatch_table_icx_init_icx]","1","","1.16352","0.455s","0","0s","0.010s","0s","Scalar","0","16","62","61","","","","","","","","0","","","","0","","","","0","","0","","0","","0","","0.002","","","","59685","1","119369","2","< 0.001s","0.227s","","Int64","","","","","","","","","dynamic_multithreading_dp_simd_O3-STRICT","61","0","0","0","0","1074324","1671178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","358108","0","716216","0","0","0","716220","0","4774800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","358110"

