sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at dynamic_multithreading_sp_simd.cpp:15]","1","","96.4336","48.611s","6.5249","3.289s","0.770s","0.100s","Scalar","1","12","34","30","","","","","","47.171","","0.143","","51.102","","0.155","","98.274","","0.298","","4.707","","5.099","","9.806","","32.904","","329.761","","261","1","1000","1500000","< 0.001s","< 0.001s","Extracts; Inserts; Permutes; Shifts; Shuffles; Type Conversions; Unpacks","Int32; Int64; UInt16; UInt256; UInt; Variable; ; ; ","128/256","AVX; AVX2","","","","","","dynamic_multithreading_sp_simd.cpp:15","dynamic_multithreading_sp_simd_O1-STRICT","30","1181023363310","1181023363310","0","0","407020397229013","190568046481","1181023363310","174559627025456","0","0","1181023363310","0","0","0","0","0","0","0","0","0","0","0","0","100830386940596","73729240084860","0","0","158739680683845","0","0","73721089519712","0","0","21572790965","5414814733","304372468888","10829629466","8084611954606","8084611954606","0","0","8084611954606","0","8084611954606","0","0","0","0","0","0","0","0","0","0","0","15689302520","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","[loop in mandelbrot_computation at dynamic_multithreading_sp_simd.cpp:9]","1","","96.513","48.651s","0.0793489","0.040s","0.770s","0.010s","Scalar","2","11","36","34","","","","","","3.598","","0.081","","2.849","","0.064","","6.447","","0.145","","0.036","","0.029","","0.065","","0.444","","44.377","","25","25","25","60000","< 0.001s","< 0.001s","Blends; Divisions; Permutes; Shifts; Shuffles; Type Conversions","Int32; Int64; UInt16; ; ","128/256","AVX; AVX2","","","","","","dynamic_multithreading_sp_simd.cpp:9","dynamic_multithreading_sp_simd_O1-STRICT","34","22500000","19500000","0","0","43500000","79500000","18000000","37500000","0","18000000","0","0","0","0","0","4500000","0","0","0","0","0","0","0","24000000","13500000","0","0","6000000","0","0","0","0","0","22500000","7500000","312000000","168000000","1500000","1500000","0","0","1500000","0","1500000","0","0","0","0","0","0","0","0","0","0","0","9000000","7500000","3000000","1500000","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","[loop in mandelbrot_computation at dynamic_multithreading_sp_simd.cpp:8]","1","","96.5923","48.691s","0","0s","0.770s","0s","Scalar","3","10","31","36","","","","","","","","0","","","","0.341","","","","0.341","","0","","< 0.001","","< 0.001","","0.003","","","","6000000","6000000","6000000","1","< 0.001s","48.69s","","UInt16; ","128","AVX; AVX2","","","","","","dynamic_multithreading_sp_simd.cpp:8","dynamic_multithreading_sp_simd_O1-STRICT","36","480000","480000","0","0","22440000","6960000","0","180000","0","0","0","0","0","0","0","480000","0","0","0","0","0","0","0","0","180000","0","0","21600000","0","0","180000","0","0","1020000","420000","5520000","1680000","180000","180000","0","0","180000","0","180000","0","0","0","0","0","0","0","0","0","0","0","120000","0","180000","0","0","0","0","0","0","0","0","0","0","0","0","0","360000"
"4","[loop in __libm_hypot_dispatch_table_icx_init_icx]","1","","0.942296","0.475s","0","0s","0.010s","0s","Scalar","0","17","62","61","","","","","","","","0","","","","0","","","","0","","0","","0","","0","","0.026","","","","23589","0","100000","56","< 0.001s","0.008s","","Int64","","","","","","","","","dynamic_multithreading_sp_simd_O1-STRICT","61","0","0","0","0","11889615","18495162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3963205","0","7926410","0","0","0","7926522","0","52843480","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3963261"

