sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at dynamic_multithreading_sp_simd.cpp:8]","1","","96.3901","44.019s","5.86734","2.679s","0.700s","0.090s","Scalar","1","12","44","41","","","","","","17.450","","0.021","","10.906","","0.013","","28.356","","0.034","","1.571","","0.982","","2.553","","76.152","","845.796","","130","1","500","1500000","< 0.001s","< 0.001s","Extracts; Inserts; Permutes; Shifts; Shuffles; Unpacks","Int32; Int64; UInt16; UInt256; UInt; Variable; ; ; ","128/256","AVX; AVX2","","","","","","dynamic_multithreading_sp_simd.cpp:8","dynamic_multithreading_sp_simd_O3-PRECISE","41","503519348749478434","503519348749478434","0","0","1069920073440300990","308042200179","6199537959340480","725209862189799589","0","6199537959340480","0","0","0","0","0","497319810790137954","0","0","0","0","0","0","0","367417661360122814","357792200829676775","0","0","0","0","0","344710211250501401","0","0","36867164326","37875768930","688486945752","475404386888","1549284844709054","1549284844709054","0","0","1549284844709054","0","1549284844709054","0","0","0","0","0","0","0","0","0","0","0","31029864268","24156160158","10997926576","0","0","0","0","0","0","0","0","0","0","0","0","0","1354970098"
"2","[loop in mandelbrot_computation at dynamic_multithreading_sp_simd.cpp:9]","1","","96.3901","44.019s","0","0s","0.700s","0s","Scalar","2","11","45","44","","","","","","","","0.071","","","","0.210","","","","0.281","","0.024","","0.071","","0.095","","0.336","","","","25","25","25","60000","< 0.001s","< 0.001s","Blends; FMA; Shifts; Shuffles; Type Conversions","Int32; Int64; UInt16; UInt256; ; ","128/256","AVX; AVX2; FMA","","","","","","dynamic_multithreading_sp_simd.cpp:9","dynamic_multithreading_sp_simd_O3-PRECISE","44","31500000","25500000","0","0","52500000","94500000","27000000","48000000","0","18000000","6000000","0","0","3000000","0","4500000","0","0","0","0","0","0","0","30000000","18000000","0","0","3000000","0","0","1500000","0","0","21000000","9000000","198000000","192000000","1500000","1500000","0","0","1500000","0","1500000","0","0","0","0","0","0","0","0","0","0","0","15000000","9000000","1500000","0","0","0","0","0","0","0","0","3000000","0","0","0","0","0"
"3","[loop in mandelbrot_computation at dynamic_multithreading_sp_simd.cpp:8]","1","","96.412","44.029s","0","0s","0.700s","0s","Scalar","3","10","42","45","","","","","","","","0","","","","0.304","","","","0.304","","0","","0.001","","0.001","","0.003","","","","6000000","6000000","6000000","1","< 0.001s","44.03s","","UInt16; ","128","AVX; AVX2","","","","","","dynamic_multithreading_sp_simd.cpp:8","dynamic_multithreading_sp_simd_O3-PRECISE","45","660000","660000","0","0","22260000","7380000","180000","540000","0","180000","0","0","0","0","0","480000","0","0","0","0","0","0","0","360000","180000","0","0","21060000","0","0","180000","0","0","720000","480000","3120000","4800000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120000","0","180000","0","0","0","0","0","0","0","0","0","0","0","0","0","360000"
"4","[loop in __libm_hypot_dispatch_table_icx_init_icx]","1","","2.66053","1.215s","0","0s","0.030s","0s","Scalar","0","17","54","53","","","","","","","","0","","","","0","","","","0","","0","","0","","0","","0.002","","","","11835","0","19606","8","< 0.001s","0.152s","","Int64","","","","","","","","","dynamic_multithreading_sp_simd_O3-PRECISE","53","0","0","0","0","852168","1325624","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","284056","0","568112","0","0","0","568128","0","3787520","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","284064"

