sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"2","[loop in mandelbrot_computation at no_complex_sp.cpp:9]","1","","43.1285","5.611s","43.1297","5.611s","0.110s","0.110s","Scalar","0","12","41","39","","","","","","126.558","","","","14.002","","","","140.560","","","","13.921","","1.540","","15.462","","0","","0","","128","0","500","6000000","< 0.001s","< 0.001s","FMA","Int32","","","","","","","","no_complex_sp.cpp:9","no_complex_sp_O3","39","72569200714","72569200714","0","0","6948007326","40992709892","0","0","0","0","0","0","0","0","0","770092546","0","0","54815314280","0","0","16983793888","0","0","0","0","0","770092546","0","0","6177914780","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10829114354","8515132190","1543889618","0","0","0","0","0","0","0","0","7735274284","0","0","0","0","0"
"3","[loop in mandelbrot_computation at no_complex_sp.cpp:9]","1","","43.4359","5.651s","0.307498","0.040s","0.110s","0.010s","Scalar","1","11","34","41","","","","","","0","","0","","1.196","","1.000","","1.196","","1.000","","0","","0.012","","0.012","","0.012","","1.196","","1","1","1","6000000","< 0.001s","< 0.001s","FMA; Type Conversions","Int32; Int64; UInt16","","","","","","","","no_complex_sp.cpp:9","no_complex_sp_O3","41","0","0","0","0","12000000","30000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12000000","0","0","0","0","0","0","6000000","0","12000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","[loop in mandelbrot_computation at no_complex_sp.cpp:9]","1","","44.5966","5.802s","0.153696","0.020s","0.110s","0.010s","Scalar","2","10","36","34","","","","","","2.398","","0.111","","6.857","","0.318","","9.254","","0.429","","0.024","","0.069","","0.093","","0.216","","21.578","","6000000","6000000","6000000","1","< 0.001s","5.802s","","Int32; Int64","","","","","","","","no_complex_sp.cpp:9","no_complex_sp_O3","34","161053629","161053629","0","0","11020090848","952933173","0","0","0","0","0","0","0","0","0","134033553","0","0","0","0","0","27020076","0","0","0","0","0","8874663384","0","0","2145427464","0","0","216000000","0","1272000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36000000","36000000","0","0","0","0","0","0","0","0","24000000","0","0","0","0","42000000"

