sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2025 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Loop Height","Max Depth","Parent ID","Loop Function ID","Why No Vectorization","Vector ISA","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Self GFLOP","Total GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Total Memory GB","Self GB/s","Total GB/s","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Traits","Data Types","Vector Widths","Instruction Sets","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Source Location","Module","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic amx_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"1","[loop in mandelbrot_computation at baseline_dp.cpp:19]","1","","99.9565","21.950s","11.1112","2.440s","21.950s","2.440s","Scalar","0","7","9","6","","","","","","2.535","2.463","0.400","0.546","1.264","2.254","0.199","0.500","3.799","4.717","0.599","1.046","6.186","54.069","3.084","49.475","9.270","103.545","15.465","98.979","6.338","4.509","257","0","1000","6000000","< 0.001s","< 0.001s","","Int64; ","","","","","","","","baseline_dp.cpp:19","baseline_dp_O1-PRECISE","6","41716232253","41716232253","0","0","16989515481","57199614657","0","0","0","0","0","0","0","0","0","0","0","0","41716232253","0","0","0","0","0","0","0","0","7719241647","0","0","9270273834","0","0","6186169104","9279253656","49489352832","55675521936","9270273834","9270273834","0","0","0","0","0","0","0","0","0","0","0","0","9270273834","0","0","0","12372338208","15465422760","6186169104","0","0","0","0","0","0","0","0","0","0","0","0","0","3093084552"
"2","[loop in mandelbrot_computation at baseline_dp.cpp:8]","1","","100.002","21.960s","0.0455437","0.010s","21.960s","0.010s","Scalar","1","6","7","9","","","","","","2.400","2.462","0.100","0.546","3.600","2.253","0.150","0.500","5.999","4.715","0.250","1.046","0.024","54.069","0.036","49.475","0.060","103.545","0.240","98.979","23.997","4.507","6000000","6000000","6000000","1","< 0.001s","21.96s","FMA; Type Conversions","Int64; ","","","","","","","","baseline_dp.cpp:8","baseline_dp_O1-PRECISE","9","40530267","40530267","0","0","81060534","259510089","0","0","0","0","0","0","0","0","0","40530267","0","0","0","0","0","0","0","0","0","0","0","40530267","0","0","40530267","0","0","48000000","24000000","312000000","192000000","27020178","27020178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27020178","0","24000000","12000000","0","0","0","0","0","0","0","0","24000000","0","0","0","0","0"

